date,bidclose,tickqty,ema,ema_slow,ema_res1,ema_res2,ema_res3,volumn,value1,tickqtyLimit,peaks_min,peaks_max,sell,zone_sell,buy,zone_buy
2023-02-14 12:21:00,1.07523,142,1.07523,1.07523,1.07523,1.07523,1.07523,142.0,1,350,,,0,,0,
2023-02-14 12:22:00,1.07547,208,1.0753799999999998,1.075365,1.0753592307692308,1.0753566666666667,1.075354,178.3,1,350,,,0,0.0,0,0.0
2023-02-14 12:23:00,1.07556,255,1.075471836734694,1.0754468393782384,1.0754366929133856,1.07543210688592,1.075427293594965,209.13289036544853,1,350,,,0,0.0,0,0.0
2023-02-14 12:24:00,1.07547,189,1.0754709926470587,1.0754549567307692,1.075447031674208,1.0754432141025643,1.075439060765816,202.5,1,350,,,0,0.0,0,0.0
2023-02-14 12:25:00,1.07575,177,1.0755920055517,1.0755466085886085,1.075527579448566,1.075518917672276,1.0755098069697449,195.17964353640124,1,350,,,0,0.0,0,0.0
2023-02-14 12:26:00,1.07585,186,1.0757002537593985,1.075633197790194,1.0756039098220949,1.0755904893027475,1.075576360377239,192.7953730284166,1,350,,,0,0.0,0,0.0
2023-02-14 12:27:00,1.0759,155,1.0757824533171798,1.0757048190975158,1.0756679905152067,1.0756507176695544,1.075632335958426,183.6882064052167,1,350,,,0,0.0,0,0.0
2023-02-14 12:28:00,1.0759,128,1.0758302752145477,1.0757548993619428,1.0757147619067433,1.0756952481968496,1.0756741011632582,171.01887107138222,1,350,,,0,0.0,0,0.0
2023-02-14 12:29:00,1.07595,90,1.0758786526619366,1.0758032960437867,1.0757595533184778,1.0757376450326865,1.0757135417020791,153.39199992226244,1,350,,,0,0.0,0,0.0
2023-02-14 12:30:00,1.07595,158,1.0759073652109663,1.0758387708470958,1.0757941699692153,1.0757709491058904,1.0757448855882745,154.35993874686923,1,350,,,0,0.0,0,0.0
2023-02-14 12:31:00,1.07597,196,1.0759325103524127,1.075869893954178,1.075824932879385,1.0758006357642478,1.0757728248067528,162.86648267926338,1,350,,,0,0.0,0,0.0
2023-02-14 12:32:00,1.07598,207,1.075951547651504,1.0758956228860768,1.0758512193242962,1.0758262619125618,1.0757970913982966,171.68427866664604,1,350,,,0,0.0,0,0.0
2023-02-14 12:33:00,1.07587,229,1.0759188859324307,1.0758897032718007,1.0758543202899058,1.0758322843674963,1.0758052043779531,182.93359236458124,1,350,,,0,0.0,0,0.0
2023-02-14 12:34:00,1.07588,219,1.0759033193608447,1.0758874811092292,1.0758584680680954,1.0758386481254347,1.0758131555421016,189.91148122346914,1,350,,,0,0.0,0,0.0
2023-02-14 12:35:00,1.07578,208,1.075853968412432,1.0758630326715137,1.075846026129924,1.0758310401425797,1.0758097723171607,193.37080856704574,1,350,,,0,0.0,0,0.0
2023-02-14 12:36:00,1.07571,175,1.075796364796846,1.075828404371044,1.0758247912151866,1.075815713392381,1.075799959667815,189.890302786753,1,350,,,0,0.0,0,0.0
2023-02-14 12:37:00,1.07576,154,1.0757818164155528,1.075812988361313,1.0758148090015613,1.0758088062170659,1.0757961582364206,183.14213806844464,1,350,,,0,0.0,0,0.0
2023-02-14 12:38:00,1.0759,149,1.0758290946509073,1.0758325363620875,1.0758277886514889,1.0758199044524162,1.075805743424536,176.76224606094354,1,350,,,0,0.0,0,0.0
2023-02-14 12:39:00,1.07567,154,1.075765452912473,1.0757961097921025,1.0758039743559633,1.075801956163255,1.0757935523166595,172.53018008963247,1,350,,,0,0.0,0,0.0
2023-02-14 12:40:00,1.07562,204,1.0757072696202106,1.0757567157346615,1.0757764302056325,1.0757804809846112,1.0757783501161908,178.3572703430947,1,350,,,0,0.0,0,0.0
2023-02-14 12:41:00,1.07575,344,1.075724362147084,1.0757552156919854,1.0757725001069083,1.0757769288277008,1.0757759228240587,208.92611667163033,1,350,,,0,0.0,0,0.0
2023-02-14 12:42:00,1.07564,248,1.0756906168440892,1.0757295101465385,1.07575291210216,1.0757611494691357,1.0757645258294184,216.11745642852037,1,350,,,0,0.0,0,0.0
2023-02-14 12:43:00,1.07556,238,1.075638369693842,1.0756917245431663,1.075724534386226,1.0757381983993581,1.0757477017975463,220.13587488355995,1,350,,,0,0.0,0,0.0
2023-02-14 12:44:00,1.0757,133,1.0756630219331171,1.0756935679610533,1.0757209405884565,1.0757338781535781,1.0757438463152122,204.16364001915426,1,350,,,0,0.0,0,0.0
2023-02-14 12:45:00,1.07588,146,1.075749813406621,1.0757350748399253,1.0757441555115557,1.07575027604982,1.0757546743039161,193.51789498235044,1,350,,,0,0.0,0,0.0
2023-02-14 12:46:00,1.07604,212,1.0758658882419752,1.0758029345818598,1.0757872012014957,1.07578256442719,1.0757770300047471,196.89659431773893,1,350,,,0,0.0,0,0.0
2023-02-14 12:47:00,1.07616,191,1.0759835330655934,1.0758823722214064,1.0758413007905434,1.075824369409083,1.0758066268013105,195.81970970889796,1,350,,,0,0.0,0,0.0
2023-02-14 12:48:00,1.07629,200,1.076106119914636,1.0759730358593003,1.0759062680071747,1.0758756609509743,1.075843512103378,196.58253081861133,1,350,,,0,0.0,0,0.0
2023-02-14 12:49:00,1.07622,155,1.0761516719655655,1.0760279543224374,1.075951605665948,1.0759134069740663,1.075871906363565,188.99955501535095,1,350,,,0,0.0,0,0.0
2023-02-14 12:50:00,1.07612,175,1.0761390031765385,1.0760484197989264,1.0759759002897529,1.075935955236017,1.0758904154858766,186.44798264764248,1,350,,,0,0.0,0,0.0
