,date,bidclose,tickqty,ema,ema_slow,ema_res1,ema_res2,ema_res3,tickqtyLIMIT,volumHight,value1,peaks_min,peaks_max,sell,zone_sell,buy,zone_buy,hma_fast,hma_slow,hma_big1slow,hma_big2slow,hma_big3slow,signal_sell,signal_buy
389,2023-02-15 12:58:00,1.06978,311,1.0698883734953573,1.0700022722850575,1.070153405361744,1.0703085449708922,1.071579415173279,400,0,1,,,0,0.0,0,0.0,1.0698883734953573,1.0700022722850575,1.070153405361744,1.0703085449708922,1.071579415173279,0.0,0.0
390,2023-02-15 12:59:00,1.06975,353,1.0698191867476785,1.0699181815233716,1.070063759725801,1.0702226149753704,1.0715608397893546,400,0,1,1.0,,0,0.0,0,0.0,1.0698191867476785,1.0699181815233716,1.070063759725801,1.0702226149753704,1.0715608397893546,0.0,0.0
391,2023-02-15 13:00:00,1.06995,432,1.0698845933738392,1.0699287876822476,1.0700384797867344,1.070180674209929,1.071544487087843,400,1,1,,,0,0.0,0,0.0,1.0698845933738392,1.0699287876822476,1.0700384797867344,1.0701806742099287,1.071544487087843,0.0,0.0
392,2023-02-15 13:01:00,1.06997,334,1.0699272966869198,1.0699425251214985,1.070023262056349,1.0701482627930168,1.0715285066453568,400,0,1,,,0,0.0,0,0.0,1.0699272966869198,1.0699425251214985,1.070023262056349,1.0701482627930168,1.0715285066453568,0.0,0.0
393,2023-02-15 13:02:00,1.07021,449,1.0700686483434598,1.0700316834143324,1.0700647593771604,1.0701577608248605,1.071515126974072,400,1,1,,,0,0.0,0,0.0,1.0700686483434598,1.0700316834143324,1.0700647593771604,1.0701577608248605,1.071515126974072,0.0,0.0
394,2023-02-15 13:03:00,1.07024,236,1.07015432417173,1.0701011222762216,1.0701037017377917,1.070170413005651,1.0715021900551682,400,0,1,,,0,0.0,0,0.0,1.07015432417173,1.0701011222762216,1.0701037017377917,1.070170413005651,1.0715021900551682,0.0,0.0
395,2023-02-15 13:04:00,1.07006,340,1.0701071620858649,1.0700874148508144,1.0700939902405049,1.070153426389397,1.07148756103998,400,0,1,,,0,0.0,0,0.0,1.0701071620858649,1.0700874148508144,1.0700939902405047,1.070153426389397,1.0714875610399799,0.0,0.0
396,2023-02-15 13:05:00,1.07014,411,1.0701235810429326,1.0701049432338765,1.0701042146315036,1.0701513607910282,1.0714738945473157,400,1,1,,,0,0.0,0,0.0,1.0701235810429326,1.0701049432338763,1.0701042146315036,1.0701513607910282,1.0714738945473157,0.0,0.0
397,2023-02-15 13:06:00,1.07011,244,1.070116790521466,1.0701066288225842,1.0701055002689472,1.0701449975924084,1.071460065052919,400,0,1,,,0,0.0,0,0.0,1.0701167905214661,1.0701066288225842,1.0701055002689472,1.0701449975924084,1.071460065052919,0.0,0.0
398,2023-02-15 13:07:00,1.07022,311,1.070168395260733,1.0701444192150562,1.0701309446536258,1.0701565364243455,1.0714474935354217,400,0,1,,,0,0.0,0,0.0,1.070168395260733,1.0701444192150562,1.0701309446536258,1.0701565364243457,1.0714474935354217,0.0,0.0
399,2023-02-15 13:08:00,1.07025,273,1.0702091976303665,1.0701796128100376,1.0701574013972646,1.0701709154359849,1.0714353558752705,400,0,1,,,0,0.0,0,0.0,1.0702091976303665,1.0701796128100376,1.0701574013972646,1.0701709154359849,1.0714353558752703,0.0,0.0
400,2023-02-15 13:09:00,1.07019,210,1.0701995988151831,1.0701830752066916,1.070164645531206,1.0701738515227563,1.0714227354306585,400,0,1,,,0,0.0,0,0.0,1.0701995988151833,1.0701830752066916,1.070164645531206,1.0701738515227563,1.0714227354306585,0.0,0.0
401,2023-02-15 13:10:00,1.07024,314,1.0702197994075917,1.0702020501377945,1.070181390968716,1.070184028211563,1.071410751784132,400,0,1,,,0,0.0,0,0.0,1.0702197994075917,1.0702020501377945,1.070181390968716,1.070184028211563,1.071410751784132,0.0,0.0
402,2023-02-15 13:11:00,1.07012,346,1.0701698997037958,1.070174700091863,1.0701677485312235,1.0701741777174765,1.0713976760786998,400,0,1,,,0,0.0,0,0.0,1.0701698997037958,1.070174700091863,1.0701677485312235,1.0701741777174765,1.0713976760786998,0.0,0.0
403,2023-02-15 13:12:00,1.06997,313,1.070069949851898,1.0701064667279088,1.0701238044131742,1.0701427657609417,1.071383215892411,400,0,1,,,0,0.0,0,0.0,1.070069949851898,1.0701064667279088,1.0701238044131742,1.0701427657609417,1.071383215892411,0.0,0.0
404,2023-02-15 13:13:00,1.07003,225,1.0700499749259489,1.0700809778186058,1.0701029589880249,1.0701254171823351,1.071369512316892,400,0,1,,,0,0.0,0,0.0,1.0700499749259489,1.0700809778186058,1.0701029589880247,1.0701254171823353,1.071369512316892,0.0,0.0
405,2023-02-15 13:14:00,1.06997,194,1.0700099874629745,1.070043985212404,1.0700734125462417,1.070101506846591,1.0713553424125195,400,0,1,,,0,0.0,0,0.0,1.0700099874629745,1.070043985212404,1.0700734125462417,1.0701015068465913,1.0713553424125195,0.0,0.0
406,2023-02-15 13:15:00,1.07006,256,1.0700349937314872,1.070049323474936,1.0700704319804104,1.0700951211778849,1.0713422295066983,400,0,1,,,0,0.0,0,0.0,1.0700349937314872,1.070049323474936,1.0700704319804104,1.0700951211778849,1.0713422295066983,0.0,0.0
407,2023-02-15 13:16:00,1.07028,285,1.0701574968657437,1.0701262156499574,1.0701170026514302,1.0701235640735949,1.0713314782892105,400,0,1,,,0,0.0,0,0.0,1.0701574968657437,1.0701262156499574,1.0701170026514302,1.0701235640735947,1.0713314782892105,0.0,0.0
408,2023-02-15 13:17:00,1.07026,168,1.0702087484328715,1.0701708104333048,1.0701487798400011,1.0701445542161183,1.0713206353168352,400,0,1,,,0,0.0,0,0.0,1.0702087484328717,1.0701708104333048,1.0701487798400013,1.0701445542161185,1.0713206353168352,0.0,0.0
409,2023-02-15 13:18:00,1.07034,184,1.070274374216436,1.0702272069555363,1.07019127320889,1.0701746227982545,1.0713107133231308,400,0,1,,,0,0.0,0,0.0,1.070274374216436,1.0702272069555365,1.07019127320889,1.0701746227982543,1.0713107133231308,0.0,0.0
410,2023-02-15 13:19:00,1.07047,208,1.070372187108218,1.0703081379703576,1.0702532124958035,1.0702200654446767,1.0713022084755917,400,0,1,,1.0,0,0.0,0,0.0,1.0703721871082181,1.0703081379703576,1.0702532124958035,1.0702200654446767,1.0713022084755917,0.0,0.0
411,2023-02-15 13:20:00,1.07041,280,1.0703910935541092,1.0703420919802384,1.070288054163403,1.0702492861454955,1.0712931841891995,400,0,1,,,0,0.0,0,0.0,1.0703910935541092,1.0703420919802384,1.070288054163403,1.0702492861454957,1.0712931841891995,0.0,0.0
412,2023-02-15 13:21:00,1.07041,429,1.0704005467770543,1.0703647279868258,1.0703151532382025,1.0702740113538811,1.0712842526468498,400,1,1,,,0,0.0,0,0.0,1.0704005467770545,1.0703647279868258,1.0703151532382025,1.0702740113538811,1.0712842526468498,0.0,0.0
413,2023-02-15 13:22:00,1.07008,370,1.0702402733885272,1.0702698186578838,1.0702628969630466,1.070244163453284,1.0712720761556769,400,0,1,,,0,0.0,0,0.0,1.0702402733885272,1.0702698186578838,1.0702628969630466,1.070244163453284,1.0712720761556767,0.0,0.0
414,2023-02-15 13:23:00,1.06988,422,1.0700601366942637,1.070139879105256,1.0701778087490363,1.070188138306625,1.0712580028010896,400,1,1,,,0,0.0,0,0.0,1.0700601366942637,1.0701398791052559,1.0701778087490363,1.070188138306625,1.0712580028010896,0.0,0.0
415,2023-02-15 13:24:00,1.06975,293,1.0699050683471318,1.070009919403504,1.0700827401381396,1.070120732413298,1.0712427599019092,400,0,1,,,0,0.0,0,0.0,1.0699050683471318,1.070009919403504,1.0700827401381396,1.070120732413298,1.0712427599019092,0.0,0.0
416,2023-02-15 13:25:00,1.06981,451,1.069857534173566,1.069943279602336,1.0700221312185534,1.0700729274266367,1.0712282798426098,400,1,1,,,0,0.0,0,0.0,1.0698575341735659,1.069943279602336,1.0700221312185534,1.0700729274266367,1.0712282798426098,0.0,0.0
417,2023-02-15 13:26:00,1.06958,210,1.069718767086783,1.0698221864015574,1.0699238798366528,1.0699970924379234,1.0712116242513428,400,0,1,,,0,0.0,0,0.0,1.069718767086783,1.0698221864015574,1.0699238798366528,1.0699970924379234,1.0712116242513428,0.0,0.0
418,2023-02-15 13:27:00,1.06959,264,1.0696543835433916,1.0697447909343716,1.0698496843173968,1.069934462832089,1.0711952405430036,400,0,1,,,0,0.0,0,0.0,1.0696543835433916,1.0697447909343716,1.0698496843173968,1.069934462832089,1.0711952405430036,0.0,0.0
419,2023-02-15 13:28:00,1.06957,214,1.0696121917716956,1.069686527289581,1.0697875322468644,1.069878391627152,1.0711788228105608,400,0,1,,,0,0.0,0,0.0,1.0696121917716956,1.069686527289581,1.0697875322468644,1.0698783916271521,1.0711788228105608,0.0,0.0
420,2023-02-15 13:29:00,1.06973,341,1.0696710958858475,1.0697010181930542,1.069774747303117,1.0698555621460517,1.0711641894180792,400,0,1,,,0,0.0,0,0.0,1.0696710958858477,1.0697010181930542,1.069774747303117,1.0698555621460517,1.0711641894180792,0.0,0.0
421,2023-02-15 13:30:00,1.06802,1945,1.068845547942924,1.0691406787953694,1.0693848034579798,1.069573167969736,1.0711324372538715,400,1,1,,,0,0.0,0,0.0,1.068845547942924,1.0691406787953694,1.0693848034579798,1.069573167969736,1.0711324372538715,0.0,0.0
422,2023-02-15 13:31:00,1.0693,1148,1.0690727739714618,1.0691937858635796,1.0693659582450956,1.0695311421282383,1.07111393480195,400,1,1,,,0,0.0,0,0.0,1.0690727739714618,1.0691937858635796,1.0693659582450956,1.0695311421282383,1.07111393480195,0.0,0.0
423,2023-02-15 13:32:00,1.06785,1596,1.068461386985731,1.0687458572423865,1.0690290786350745,1.06927250487774,1.0710809831008612,400,1,1,,,0,0.0,0,0.0,1.068461386985731,1.0687458572423865,1.0690290786350745,1.06927250487774,1.0710809831008612,0.0,0.0
424,2023-02-15 13:33:00,1.0678,1966,1.0681306934928654,1.0684305714949245,1.0687559500495023,1.06904596566578,1.0710478641024337,400,1,1,,,0,0.0,0,0.0,1.0681306934928654,1.0684305714949243,1.0687559500495025,1.06904596566578,1.0710478641024337,0.0,0.0
425,2023-02-15 13:34:00,1.06862,1631,1.0683753467464323,1.068493714329949,1.068725738927391,1.0689804324864294,1.0710233602115964,400,1,1,,,0,0.0,0,0.0,1.0683753467464325,1.0684937143299493,1.068725738927391,1.0689804324864294,1.0710233602115964,0.0,0.0
426,2023-02-15 13:35:00,1.06896,1665,1.0686676733732163,1.068649142886633,1.0687777969435264,1.0689772890269786,1.0710025381449562,400,1,1,,,0,0.0,0,0.0,1.0686676733732163,1.068649142886633,1.0687777969435264,1.0689772890269786,1.0710025381449562,0.0,0.0
427,2023-02-15 13:36:00,1.06918,1181,1.0689238366866085,1.0688260952577553,1.0688671754005208,1.0690084753305205,1.0709841488898812,400,1,1,,,0,0.0,0,0.0,1.0689238366866083,1.0688260952577553,1.0688671754005208,1.0690084753305205,1.0709841488898812,0.0,0.0
428,2023-02-15 13:37:00,1.06837,973,1.0686469183433045,1.0686740635051704,1.068756691978183,1.0689102483565942,1.0709577760330296,400,1,1,,,0,0.0,0,0.0,1.0686469183433043,1.0686740635051704,1.068756691978183,1.0689102483565942,1.0709577760330296,0.0,0.0
429,2023-02-15 13:38:00,1.06786,1084,1.0682534591716522,1.068402709003447,1.0685574270941425,1.0687486716863488,1.0709265284210352,400,1,1,,,0,0.0,0,0.0,1.0682534591716522,1.068402709003447,1.0685574270941425,1.0687486716863488,1.0709265284210352,0.0,0.0
430,2023-02-15 13:39:00,1.06767,828,1.067961729585826,1.0681584726689646,1.068360221073222,1.0685827221961413,1.0708936839511969,400,1,1,1.0,,0,0.0,0,0.0,1.067961729585826,1.0681584726689646,1.068360221073222,1.0685827221961413,1.0708936839511969,0.0,0.0
431,2023-02-15 13:40:00,1.06772,1059,1.067840864792913,1.068012315112643,1.068217949723617,1.0684499957044271,1.070861679364456,400,1,1,,,0,0.0,0,0.0,1.067840864792913,1.068012315112643,1.068217949723617,1.0684499957044271,1.0708616793644559,0.0,0.0
432,2023-02-15 13:41:00,1.06772,866,1.0677804323964564,1.067914876741762,1.06810729422948,1.0683376886729767,1.0708300017721166,400,1,1,,,0,0.0,0,0.0,1.0677804323964564,1.067914876741762,1.06810729422948,1.0683376886729767,1.0708300017721166,0.0,0.0
433,2023-02-15 13:42:00,1.06835,844,1.068065216198228,1.0680599178278414,1.0681612288451512,1.068339582723288,1.0708049992026545,400,1,1,,,0,0.0,0,0.0,1.068065216198228,1.0680599178278414,1.0681612288451512,1.068339582723288,1.0708049992026545,0.0,0.0
434,2023-02-15 13:43:00,1.06862,1374,1.068342608099114,1.0682466118852274,1.0682631779906733,1.068382723842782,1.0707829736476506,400,1,1,,,0,0.0,0,0.0,1.068342608099114,1.0682466118852274,1.0682631779906733,1.068382723842782,1.0707829736476506,0.0,0.0
435,2023-02-15 13:44:00,1.06912,1156,1.0687313040495572,1.0685377412568184,1.0684535828816348,1.0684961509438926,1.0707662124731785,400,1,1,,,0,0.0,0,0.0,1.0687313040495572,1.0685377412568184,1.0684535828816348,1.0684961509438926,1.0707662124731785,0.0,0.0
436,2023-02-15 13:45:00,1.06924,1393,1.068985652024779,1.0687718275045457,1.0686283422412717,1.068610589260217,1.0707508317006482,400,1,1,,,0,0.0,0,0.0,1.0689856520247787,1.0687718275045457,1.0686283422412715,1.0686105892602167,1.0707508317006482,0.0,0.0
437,2023-02-15 13:46:00,1.06873,1093,1.068857826012389,1.0687578850030304,1.0686509328543226,1.0686289601432604,1.0707304688802133,400,1,1,,,0,0.0,0,0.0,1.0688578260123893,1.0687578850030304,1.0686509328543226,1.0686289601432604,1.0707304688802133,0.0,0.0
438,2023-02-15 13:47:00,1.06871,1014,1.068783913006195,1.0687419233353534,1.0686640588866956,1.068641427813528,1.070710112284859,400,1,1,,,0,0.0,0,0.0,1.0687839130061947,1.0687419233353534,1.0686640588866956,1.068641427813528,1.070710112284859,0.0,0.0
439,2023-02-15 13:48:00,1.06899,1137,1.0688869565030974,1.0688246155569023,1.068736490245208,1.0686950543037546,1.0706927840023222,400,1,1,,,0,0.0,0,0.0,1.0688869565030974,1.0688246155569023,1.068736490245208,1.0686950543037546,1.0706927840023222,0.0,0.0
440,2023-02-15 13:49:00,1.06982,993,1.0693534782515486,1.0691564103712683,1.0689772701907174,1.0688681228724075,1.0706839927288183,400,1,1,,,0,0.0,0,0.0,1.0693534782515486,1.0691564103712683,1.0689772701907174,1.0688681228724077,1.0706839927288185,0.0,0.0
